Forename,Male,Female
Sumarno,100,0
Yohana,1,99
Atik,5,95
Salim,100,0
Widodo,100,0
Suratmi,3,97
Aisah,0,100
Solihin,97,3
Soleh,100,0
Rio,98,2
Zulkifli,98,2
Asri,44,56
Ibnu,99,1
Hartini,1,99
Mira,1,99
Amaq,67,33
Wahyudin,98,2
Mahmud,99,1
Hariyanto,99,1
Suwardi,96,4
Fatmawati,1,99
Yulianti,0,100
Juju,25,75
Anisa,1,99
Surati,10,90
Suharti,0,100
Ayi,67,33
Ardi,99,1
Lisa,1,99
Riyanto,100,0
Sunarsih,0,100
Mulyani,4,96
Dimas,98,2
Paulus,100,0
Eneng,0,100
Yayuk,1,99
Kristina,0,100
Rohman,96,4
Sinta,1,99
Enung,0,100
Maryani,0,100
Sofyan,100,0
Noor,40,60
Aditya,97,3
Martini,2,98
Maimunah,0,100
Mardiana,1,99
Een,11,89
Dra,0,100
Kurnia,19,81
Nasir,99,1
Mamat,100,0
Mochammad,99,1
Sani,24,76
Uswatun,0,100
Patimah,0,100
Idris,99,1
Sutinah,0,100
Rudy,100,0
Junaedi,100,0
Juliana,3,97
Hermanto,100,0
Ratih,0,100
Hendi,97,3
Wiwi,7,93
Eddy,100,0
Santoso,100,0
Anggi,31,69
Tan,40,60
Mujiono,100,0
Sugiono,100,0
Yeti,0,100
Nuraeni,1,99
Mansur,100,0
Basri,100,0
Yogi,97,3
Mariani,0,100
Muslim,96,4
Sumirah,0,100
Luh,0,100
Theresia,2,98
Nuryati,0,100
Hamidah,0,100
Hasanah,0,100
Desy,1,99
Ferry,98,2
Purnomo,99,1
Mulyati,1,99
Rohmat,100,0
Sunaryo,100,0
Aep,100,0
Sugiyanto,100,0
Sugito,100,0
Ela,2,98
Suwito,100,0
Saleh,98,2
Astuti,0,100
Lie,37,63
Khusnul,21,79
Rustam,99,1
Andika,97,3
Sutikno,100,0
Elly,4,96
Muji,34,66
Harun,94,6
Sumadi,100,0
Markus,99,1
Suhardi,99,1
Ninik,0,100
Yahya,96,4
Rahma,4,96
Atikah,0,100
Marta,11,89
Arman,99,1
Luluk,2,98
Tina,1,99
Rusmini,0,100
Eri,65,35
Ema,3,97
Sukarti,5,95
Suriani,1,99
Jamaludin,100,0
Dahlia,1,99
Winarti,0,100
Kokom,0,100
Maulana,99,1
Kartika,3,97
Fauzi,99,1
Lalu,98,2
Beni,94,6
Acep,100,0
Tuminah,0,100
Hery,97,3
Idah,0,100
Erik,93,7
Nurlela,2,98
Sarah,1,99
Sopiah,33,67
Mhd,100,0
Suprapto,100,0
Hartati,0,100
Toto,91,9
Sundari,7,93
Andreas,100,0
Isah,0,100
Risma,1,99
Wulan,1,99
Martina,1,99
Suradi,100,0
Said,100,0
Febri,67,33
Martinus,99,1
